Month_Ending,TRETSPEF,EMERGENCY
2021-08-31,100,49715.0
2021-08-31,101,11857.0
2021-08-31,102,289.0
2021-08-31,103,93.0
2021-08-31,104,3901.0
2021-08-31,105,440.0
2021-08-31,106,1824.0
2021-08-31,107,2078.0
2021-08-31,108,636.0
2021-08-31,109,0.0
2021-08-31,110,22760.0
2021-08-31,111,0.0
2021-08-31,113,0.0
2021-08-31,115,143.0
2021-08-31,120,5453.0
2021-08-31,130,1035.0
2021-08-31,140,780.0
2021-08-31,141,0.0
2021-08-31,142,3.0
2021-08-31,143,2.0
2021-08-31,144,1503.0
2021-08-31,145,67.0
2021-08-31,150,1871.0
2021-08-31,160,3576.0
2021-08-31,161,266.0
2021-08-31,170,98.0
2021-08-31,171,1226.0
2021-08-31,172,217.0
2021-08-31,173,246.0
2021-08-31,174,22.0
2021-08-31,180,46288.0
2021-08-31,190,174.0
2021-08-31,191,39.0
2021-08-31,192,1114.0
2021-08-31,199,60.0
2021-08-31,211,108.0
2021-08-31,212,4.0
2021-08-31,213,0.0
2021-08-31,214,680.0
2021-08-31,215,216.0
2021-08-31,216,15.0
2021-08-31,217,97.0
2021-08-31,218,165.0
2021-08-31,219,529.0
2021-08-31,220,173.0
2021-08-31,221,13.0
2021-08-31,222,
2021-08-31,223,12.0
2021-08-31,240,
2021-08-31,241,0.0
2021-08-31,242,302.0
2021-08-31,251,150.0
2021-08-31,252,20.0
2021-08-31,253,238.0
2021-08-31,254,0.0
2021-08-31,255,8.0
2021-08-31,256,21.0
2021-08-31,257,5.0
2021-08-31,258,269.0
2021-08-31,259,90.0
2021-08-31,260,459.0
2021-08-31,261,16.0
2021-08-31,262,22.0
2021-08-31,263,41.0
2021-08-31,264,9.0
2021-08-31,280,0.0
2021-08-31,290,2.0
2021-08-31,291,2.0
2021-08-31,300,194899.0
2021-08-31,301,3812.0
2021-08-31,302,2588.0
2021-08-31,303,2656.0
2021-08-31,304,0.0
2021-08-31,305,176.0
2021-08-31,306,208.0
2021-08-31,307,2010.0
2021-08-31,308,31.0
2021-08-31,309,31.0
2021-08-31,310,
2021-08-31,311,1.0
2021-08-31,313,0.0
2021-08-31,314,380.0
2021-08-31,315,183.0
2021-08-31,316,0.0
2021-08-31,317,1.0
2021-08-31,318,45.0
2021-08-31,319,0.0
2021-08-31,320,10772.0
2021-08-31,321,70.0
2021-08-31,322,4.0
2021-08-31,323,30.0
2021-08-31,324,1.0
2021-08-31,325,708.0
2021-08-31,326,4511.0
2021-08-31,327,
2021-08-31,328,5142.0
2021-08-31,329,81.0
2021-08-31,330,35.0
2021-08-31,331,25.0
2021-08-31,340,10139.0
2021-08-31,341,36.0
2021-08-31,342,
2021-08-31,343,81.0
2021-08-31,344,1.0
2021-08-31,345,0.0
2021-08-31,346,0.0
2021-08-31,347,
2021-08-31,348,
2021-08-31,350,1024.0
2021-08-31,352,70.0
2021-08-31,360,17.0
2021-08-31,361,3152.0
2021-08-31,370,3261.0
2021-08-31,371,0.0
2021-08-31,400,2016.0
2021-08-31,401,1.0
2021-08-31,410,324.0
2021-08-31,420,47319.0
2021-08-31,421,92.0
2021-08-31,422,667.0
2021-08-31,424,272.0
2021-08-31,430,23185.0
2021-08-31,431,1.0
2021-08-31,450,0.0
2021-08-31,451,0.0
2021-08-31,460,1.0
2021-08-31,499,3.0
2021-08-31,501,1385.0
2021-08-31,502,15756.0
2021-08-31,503,106.0
2021-08-31,505,1.0
2021-08-31,560,199.0
2021-08-31,650,25.0
