PARTYEAR,Month_Ending,FY_Start_Date,FY_End_Date,TRETSPEF,TRETSPEF_DESCRIPTION,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance,Latest_Month_Flag
202107,31OCT21,01APR21,31MAR22,&,Not Known,196,35,173,23,19,163,37,6408,5002,627,1213,3789,1
202107,31OCT21,01APR21,31MAR22,100,General Surgery Service,105501,61406,68711,36790,31513,94058,49360,236650,184672,14018,72707,111962,1
202107,31OCT21,01APR21,31MAR22,101,Urology Service,52587,36730,25081,27506,22174,48692,11723,315431,233826,19276,68371,165448,1
202107,31OCT21,01APR21,31MAR22,102,Transplant Surgery Service,998,639,807,191,168,758,298,8990,6995,747,565,6430,1
202107,31OCT21,01APR21,31MAR22,103,Breast Surgery Service,6233,5407,2125,4108,3612,6135,150,156713,125159,6835,64099,61057,1
202107,31OCT21,01APR21,31MAR22,104,Colorectal Surgery Service,26374,19625,8779,17595,14793,24132,3642,109252,82315,6476,38089,44226,1
202107,31OCT21,01APR21,31MAR22,105,Hepatobiliary and Pancreatic Surgery Service,2482,1430,2018,464,409,1716,522,8296,6123,504,1762,4361,1
202107,31OCT21,01APR21,31MAR22,106,Upper Gastrointestinal Surgery Service,7707,5542,3691,4016,3466,6705,1605,21767,15894,1465,6788,9106,1
202107,31OCT21,01APR21,31MAR22,107,Vascular Surgery Service,7605,5014,5279,2326,1923,6356,2184,56286,39727,4154,17332,22395,1
202107,31OCT21,01APR21,31MAR22,108,Spinal Surgery Service,3937,2947,2301,1636,1408,3554,644,32769,24687,1907,8073,16614,1
202107,31OCT21,01APR21,31MAR22,109,Bariatric Surgery Service,62,56,59,3,3,62,0,831,678,100,117,561,1
202107,31OCT21,01APR21,31MAR22,110,Trauma and Orthopaedic Service,74816,56367,49345,25471,22545,67890,21508,698404,544036,44717,195018,349012,1
202107,31OCT21,01APR21,31MAR22,111,Orthopaedic Service,6,2,6,0,0,6,5,62,34,2,8,26,1
202107,31OCT21,01APR21,31MAR22,113,Endocrine Surgery Service,9,6,9,0,0,8,0,340,191,11,71,120,1
202107,31OCT21,01APR21,31MAR22,115,Trauma Surgery Service,191,110,185,6,5,187,170,3274,2485,346,1012,1473,1
202107,31OCT21,01APR21,31MAR22,120,Ear Nose and Throat Service,18530,12516,10146,8384,7022,17835,6047,275358,195672,21917,82726,112942,1
202107,31OCT21,01APR21,31MAR22,130,Ophthalmology Service,65540,57478,2730,62810,55792,64955,1107,810164,611494,57151,154392,457060,1
202107,31OCT21,01APR21,31MAR22,140,Oral Surgery Service,10606,8953,1536,9070,7860,10412,720,87868,62854,8164,27650,35204,1
202107,31OCT21,01APR21,31MAR22,141,Restorative Dentistry Service,468,388,17,451,376,467,0,39086,28875,2524,4390,24485,1
202107,31OCT21,01APR21,31MAR22,142,Paediatric Dentistry Service,1598,1326,47,1551,1292,1596,11,12526,8806,1245,2682,6124,1
202107,31OCT21,01APR21,31MAR22,143,Orthodontic Service,52,47,9,43,42,50,5,68120,49242,5014,4194,45047,1
202107,31OCT21,01APR21,31MAR22,144,Maxillofacial Surgery Service,7281,5783,2469,4812,4107,7131,1409,57218,40245,5188,14901,25344,1
202107,31OCT21,01APR21,31MAR22,145,Oral and Maxillofacial Surgery Service,345,255,68,277,223,342,45,2419,1847,146,730,1117,1
202107,31OCT21,01APR21,31MAR22,150,Neurosurgical Service,6772,4824,5595,1177,1004,5476,1831,39129,28322,2281,9436,18886,1
202107,31OCT21,01APR21,31MAR22,160,Plastic Surgery Service,17158,12485,5402,11756,9201,16869,3297,108200,80988,6717,25497,55490,1
202107,31OCT21,01APR21,31MAR22,161,Burns Care Service,368,183,330,38,33,338,248,6099,4871,412,1232,3639,1
202107,31OCT21,01APR21,31MAR22,170,Cardiothoracic Surgery Service,779,571,765,14,10,537,86,4572,3504,172,1157,2347,1
202107,31OCT21,01APR21,31MAR22,171,Paediatric Surgery Service,3944,2785,2327,1617,1383,3629,1323,19027,13345,1566,5942,7403,1
202107,31OCT21,01APR21,31MAR22,172,Cardiac Surgery Service,2081,1488,2058,23,16,1406,207,6223,5032,285,1464,3568,1
202107,31OCT21,01APR21,31MAR22,173,Thoracic Surgery Service,2030,1612,1928,102,82,1810,308,7287,5733,390,1825,3908,1
202107,31OCT21,01APR21,31MAR22,174,Cardiothoracic Transplantation Service,127,56,102,25,11,107,15,593,510,20,31,479,1
202107,31OCT21,01APR21,31MAR22,180,Emergency Medicine Service,43278,8185,43197,81,55,42602,42466,16012,14481,659,11162,3319,1
202107,31OCT21,01APR21,31MAR22,190,Anaesthetic Service,1190,648,476,714,422,941,154,101648,79510,4497,32655,46855,1
202107,31OCT21,01APR21,31MAR22,191,Pain Management Service,10604,9182,218,10386,9057,10498,51,78971,59509,6847,14905,44604,1
